"file","expected_exists","actual_exists","expected_bytes","actual_bytes","sha256_match"
"gfa_test_APR.gff","True","True","144","146","False"
"gfa_test_APR.tsv","True","True","195","197","False"
"gfa_test_DR.gff","True","True","621","626","False"
"gfa_test_DR.tsv","True","True","473","478","False"
"gfa_test_GQ.gff","True","True","1170","1178","False"
"gfa_test_GQ.tsv","True","True","955","963","False"
"gfa_test_IR.gff","True","True","2326","2341","False"
"gfa_test_IR.tsv","True","True","1318","1333","False"
"gfa_test_MR.gff","True","True","909","915","False"
"gfa_test_MR.tsv","True","True","605","611","False"
"gfa_test_STR.gff","True","True","959","967","False"
"gfa_test_STR.tsv","True","True","705","713","False"
"gfa_test_Z.gff","True","True","557","562","False"
"gfa_test_Z.tsv","True","True","412","417","False"
