"file","sha256_match","normalized_equal"
"gfa_test_APR.gff","False","True"
"gfa_test_APR.tsv","False","True"
"gfa_test_DR.gff","False","True"
"gfa_test_DR.tsv","False","True"
"gfa_test_GQ.gff","False","True"
"gfa_test_GQ.tsv","False","True"
"gfa_test_IR.gff","False","True"
"gfa_test_IR.tsv","False","True"
"gfa_test_MR.gff","False","True"
"gfa_test_MR.tsv","False","True"
"gfa_test_STR.gff","False","True"
"gfa_test_STR.tsv","False","True"
"gfa_test_Z.gff","False","True"
"gfa_test_Z.tsv","False","True"
